	Force(kN)	Displ1(mm)
6.619826	8.439889
6.619784	8.453037
6.620701	8.465703
6.621576	8.478632
6.621576	8.490948
6.622326	8.50414
6.622034	8.515929
6.624327	8.529296
6.623326	8.54275
6.622952	8.555111
6.62441	8.567995
6.623785	8.580574
6.624493	8.593371
6.625077	8.60665
6.622827	8.619317
6.625743	8.632289
6.625452	8.645482
6.627244	8.65806
6.626702	8.671033
6.62766	8.683479
6.626369	8.696321
6.626619	8.709469
6.626702	8.72152
6.629286	8.735414
6.628994	8.748212
6.62937	8.761315
6.628494	8.773456
6.630078	8.78713
6.628745	8.800322
6.630411	8.813558
6.631412	8.825741
6.63162	8.838583
6.631661	8.852081
6.630286	8.864441
6.630161	8.878115
6.632329	8.890824
6.633829	8.904279
6.633453	8.916989
6.633162	8.929567
6.63237	8.942496
6.63437	8.956521
6.634079	8.969318
6.635537	8.983475
6.63462	8.995833
6.635454	9.008499
6.637579	9.021121
6.635537	9.034401
6.636787	9.047593
6.636954	9.061091
6.635412	9.07402
6.636704	9.086379
6.636579	9.100492
6.636329	9.113246
6.636204	9.126657
6.637621	9.139411
6.639913	9.152251
6.639996	9.165707
6.637204	9.178547
6.637871	9.191345
6.638704	9.205544
6.639496	9.21786
6.639955	9.231666
6.640288	9.244287
6.638704	9.257611
6.640288	9.270979
6.640038	9.283382
6.641371	9.296661
6.641497	9.309503
6.642122	9.322606
6.642372	9.335974
6.64108	9.349516
6.641705	9.362664
6.641997	9.3759
6.642705	9.388654
6.641829	9.40167
6.643163	9.414774
6.642204	9.427835
6.642955	9.441947
6.642997	9.454219
6.643289	9.467542
6.642913	9.480908
6.644289	9.494013
6.643163	9.50725
6.644289	9.520617
6.645164	9.533063
6.644622	9.546342
6.646581	9.558922
6.644039	9.572902
6.645373	9.586489
6.646372	9.599987
6.645997	9.613354
6.646914	9.626196
6.644455	9.639737
6.645164	9.652885
6.644164	9.666385
6.645497	9.679796
6.647789	9.693294
6.647581	9.706048
6.646831	9.71981
6.647331	9.732914
6.648164	9.746193
6.646956	9.759518
6.64829	9.773541
6.647706	9.787085
6.646873	9.79953
6.647498	9.813029
6.648581	9.826572
6.64829	9.840377
6.649748	9.85357
6.648039	9.8672
6.649872	9.881224
6.648873	9.894941
6.649831	9.908265
6.648915	9.921193
6.648623	9.935263
6.649165	9.940521
6.648956	9.954853
6.648831	9.967563
6.648331	9.974049
6.648789	9.989125
6.65004	10.00258
6.649415	10.015203
6.650123	10.02949
6.648415	10.042727
6.651123	10.056137
6.650082	10.069505
6.650498	10.083002
6.65129	10.096633
6.648747	10.111973
6.652915	10.124858
6.650415	10.1384
6.651457	10.15203
6.652207	10.165792
6.651165	10.180035
6.651373	10.192745
6.651582	10.206901
6.651123	10.219918
6.651331	10.233811
6.651331	10.247441
6.65179	10.261509
6.651582	10.274439
6.651874	10.288857
6.650915	10.30183
6.652582	10.314979
6.652707	10.330274
6.65204	10.343466
6.651206	10.357359
6.651123	10.371208
6.653248	10.383611
6.652957	10.397811
6.65179	10.411967
6.65329	10.424502
6.652915	10.438964
6.650915	10.453252
6.651165	10.466049
6.651707	10.480513
6.652915	10.49502
6.653499	10.507948
6.653749	10.521666
6.653332	10.535735
6.654499	10.550898
6.652124	10.564528
6.652957	10.578159
6.653916	10.592316
6.652915	10.606076
6.652915	10.619532
6.652457	10.634038
6.653374	10.647581
6.653749	10.66235
6.653874	10.676024
6.65204	10.689654
6.653165	10.703328
6.652165	10.717748
6.65129	10.731904
6.653165	10.745622
6.652665	10.759252
6.65404	10.773407
6.653999	10.787213
6.651457	10.801238
6.652874	10.814824
6.65229	10.829155
6.653416	10.842435
6.653957	10.857073
6.651957	10.870265
6.652999	10.885035
6.653582	10.899849
6.652915	10.914398
6.652791	10.928117
6.651874	10.941791
6.652457	10.955596
6.65254	10.96984
6.652582	10.983207
6.653957	10.996181
6.652749	11.011869
6.653123	11.025719
6.652249	11.0397
6.65204	11.053199
6.652249	11.067705
6.652249	11.081073
6.653457	11.095009
6.652665	11.109077
6.651457	11.123364
6.651915	11.136995
6.652165	11.150976
6.652791	11.165877
6.652207	11.178894
6.651749	11.193007
6.652207	11.207162
6.650831	11.221318
6.652124	11.236439
6.65204	11.250113
6.651874	11.264619
6.65204	11.278995
6.652457	11.293195
6.651373	11.307087
6.65229	11.32177
6.652207	11.335837
6.652124	11.350564
6.652124	11.363755
6.651081	11.378876
6.65154	11.392769
6.651749	11.406925
6.65179	11.4213
6.651707	11.435105
6.652165	11.451366
6.650665	11.464952
6.651081	11.479196
6.650999	11.493089
6.65129	11.507595
6.652207	11.521751
6.650707	11.536389
6.651373	11.550108
6.650457	11.565009
6.650123	11.579691
6.649872	11.593451
6.651081	11.607477
6.651331	11.622422
6.650498	11.635745
6.650332	11.650909
6.649872	11.66546
6.649289	11.679572
6.64904	11.693377
6.649956	11.708454
6.649081	11.721996
6.649539	11.736941
6.648956	11.750748
6.648831	11.765035
6.650539	11.779453
6.648081	11.794092
6.648873	11.808862
6.648248	11.82328
6.647623	11.837261
6.648623	11.851724
6.65004	11.866625
6.646414	11.880167
6.647331	11.894543
6.647123	11.909883
6.646705	11.924039
6.648206	11.93894
6.646747	11.952745
6.646956	11.967954
6.645956	11.982678
6.645914	11.996134
6.646665	12.011123
6.646747	12.024796
6.648081	12.040136
6.647081	12.054774
6.645831	12.069543
6.644705	12.083481
6.646414	12.098031
6.646789	12.112713
6.64633	12.127789
6.645331	12.142296
6.643747	12.157065
6.644622	12.17153
6.644872	12.185861
6.645289	12.20041
6.645205	12.215531
6.645039	12.229994
6.643914	12.244807
6.643789	12.259884
6.64383	12.274346
6.64458	12.289028
6.643914	12.303842
6.642122	12.318568
6.643205	12.332943
6.644122	12.348808
6.643373	12.36314
6.642872	12.37848
6.642705	12.393381
6.643455	12.407887
6.641997	12.422438
6.642747	12.437602
6.642122	12.452196
6.643038	12.466616
6.641997	12.482174
6.641829	12.497031
6.642663	12.511362
6.641163	12.526133
6.640747	12.541428
6.641455	12.556066
6.641288	12.572413
6.640079	12.585299
6.639329	12.60033
6.641621	12.615232
6.639663	12.63009
6.639329	12.644508
6.639996	12.659453
6.639871	12.674355
6.638371	12.689431
6.63833	12.704113
6.638205	12.719191
6.637912	12.733433
6.636954	12.748552
6.636954	12.762973
6.636496	12.77818
6.634995	12.792687
6.63687	12.808464
6.636246	12.823672
6.636496	12.837829
6.635412	12.853518
6.635579	12.867192
6.633787	12.882971
6.635995	12.894585
6.634912	12.909662
6.634828	12.923774
6.633871	12.939025
6.63487	12.953051
6.633162	12.968214
6.633662	12.983466
6.633912	12.998104
6.632786	13.013092
6.633912	13.029923
6.630537	13.044824
6.631953	13.058935
6.631536	13.074712
6.633245	13.089877
6.633078	13.106006
6.630327	13.119416
6.630827	13.134932
6.631203	13.150534
6.630785	13.165786
6.631661	13.180861
6.631412	13.196114
6.629328	13.211277
6.629911	13.226267
6.629869	13.242483
6.629203	13.257209
6.62937	13.272986
6.629452	13.287887
6.628411	13.303489
6.627244	13.318741
6.626077	13.333028
6.627035	13.348193
6.627952	13.36327
6.627786	13.378784
6.62691	13.394124
6.625743	13.409024
6.625452	13.424188
6.624368	13.439265
6.625035	13.454165
6.624535	13.471346
6.623451	13.486248
6.623368	13.501588
6.623702	13.516048
6.623535	13.531827
6.62491	13.547781
6.622993	13.562069
6.621284	13.577408
6.622326	13.592397
6.621785	13.608962
6.622868	13.623776
6.621743	13.639816
6.620993	13.654631
6.620368	13.669531
6.620576	13.684871
6.619201	13.700998
6.617826	13.716076
6.61895	13.730713
6.618618	13.746491
6.617867	13.762007
6.617451	13.777521
6.616659	13.792422
6.617451	13.808023
6.61695	13.823627
6.615283	13.838264
6.617533	13.853955
6.614909	13.870084
6.615283	13.884984
6.614616	13.900675
6.614908	13.920046
6.616034	13.93258
6.614867	13.948797
6.613825	13.96396
6.613283	13.979299
6.613533	13.995778
6.613783	14.010505
6.612658	14.025844
6.611033	14.041357
6.611699	14.057223
6.612741	14.073615
6.610324	14.089394
6.610366	14.104646
6.610449	14.12016
6.607282	14.13585
6.608032	14.151452
6.608449	14.166704
6.607532	14.18327
6.608366	14.200101
6.60674	14.214125
6.606865	14.229288
6.606198	14.246556
6.605906	14.261281
6.60474	14.277235
6.606115	14.29389
6.60574	14.308702
6.604573	14.324304
6.603656	14.340522
6.602822	14.356123
6.603406	14.371638
6.601614	14.388467
6.601572	14.40407
6.602489	14.419058
6.600447	14.434924
6.600238	14.451053
6.598822	14.465515
6.599447	14.481468
6.59778	14.497772
6.598614	14.513287
6.598864	14.5288
6.595946	14.544315
6.596406	14.560619
6.59678	14.576748
6.596654	14.593227
6.595905	14.608391
6.595822	14.624958
6.593362	14.638894
6.59203	14.655547
6.593029	14.671152
6.593112	14.686929
6.592488	14.70446
6.59082	14.718571
6.590279	14.734086
6.591404	14.74969
6.59057	14.765817
6.590195	14.782296
6.588903	14.797547
6.587362	14.816918
6.587737	14.830856
6.588903	14.847071
6.587278	14.862148
6.586528	14.878365
6.585736	14.894754
6.583902	14.910182
6.582777	14.927889
6.58532	14.942528
6.583027	14.958304
6.583944	14.974696
6.582861	14.989947
6.581944	15.006251
6.581485	15.023254
6.581111	15.041136
6.580819	15.055249
6.580402	15.071379
6.578818	15.087068
6.57861	15.103109
6.577235	15.119412
6.57636	15.13554
6.57636	15.154035
6.574984	15.16771
6.575192	15.184277
6.573984	15.199879
6.573942	15.21627
6.573609	15.231784
6.572025	15.248175
6.5719	15.266758
6.571942	15.281483
6.569191	15.297349
6.569108	15.313916
6.56915	15.329869
6.566441	15.345821
6.566899	15.3616
6.566732	15.378167
6.564357	15.39333
6.565232	15.409459
6.563316	15.426025
6.563607	15.441364
6.564066	15.457493
6.561357	15.473533
6.561648	15.490975
6.559273	15.506053
6.558606	15.521917
6.560731	15.537871
6.55769	15.555226
6.556231	15.569778
6.556564	15.586519
6.555481	15.603611
6.554897	15.619038
6.555481	15.635078
6.553147	15.650945
6.552896	15.667249
6.550855	15.683376
6.549729	15.699329
6.550313	15.716948
6.550688	15.733338
6.548896	15.748766
6.547563	15.765333
6.546271	15.781549
6.54402	15.798027
6.547229	15.813718
6.543811	15.830373
6.545437	15.846412
6.542103	15.861927
6.54127	15.878407
6.539728	15.894359
6.54102	15.911715
6.539228	15.92723
6.538519	15.944147
6.534643	15.960976
6.534935	15.976929
6.533185	15.994458
6.53306	16.010324
6.532893	16.025928
6.531268	16.042933
6.529726	16.058096
6.528392	16.075802
6.527433	16.091843
6.527391	16.108849
6.527059	16.124802
6.5256	16.141018
6.523975	16.161703
6.522017	16.175289
6.520391	16.191154
6.519891	16.208422
6.519641	16.224552
6.516598	16.240767
6.515931	16.257071
6.515182	16.275389
6.512806	16.290291
6.511931	16.305456
6.509389	16.322197
6.509389	16.33885
6.507389	16.354979
6.50468	16.37137
6.505555	16.388903
6.503762	16.404154
6.501345	16.420195
6.501846	16.436058
6.500637	16.453152
6.498428	16.469017
6.49697	16.486635
6.495428	16.501535
6.495678	16.518717
6.49326	16.534758
6.48951	16.55036
6.489718	16.567188
6.487384	16.583668
6.48526	16.599884
6.484634	16.617153
6.483425	16.633631
6.480383	16.649584
6.479217	16.667377
6.476966	16.682543
6.476883	16.698406
6.473965	16.715673
6.472299	16.732153
6.470756	16.747404
6.468131	16.764673
6.466964	16.780977
6.465464	16.797543
6.461838	16.813496
6.461672	16.831026
6.457963	16.847681
6.456337	16.863283
6.456004	16.879763
6.45317	16.896591
6.45192	16.912983
6.449628	16.929811
6.445627	16.945591
6.443668	16.962156
6.441335	16.978809
6.440459	16.995028
6.438168	17.012383
6.435542	17.029125
6.433	17.044813
6.429582	17.062782
6.427749	17.078386
6.426665	17.095654
6.423914	17.112309
6.422873	17.129225
6.418247	17.14588
6.415872	17.162094
6.412329	17.178486
6.410204	17.194965
6.408204	17.211794
6.405078	17.2288
6.401577	17.244577
6.400119	17.26088
6.396369	17.277622
6.393618	17.294277
6.389783	17.310579
6.387033	17.326796
6.384657	17.343275
6.381323	17.359842
6.378573	17.375795
6.375865	17.392536
6.371488	17.409367
6.368779	17.426634
6.365779	17.44171
6.361403	17.458014
6.358861	17.474669
6.356778	17.490358
6.352318	17.510344
6.350067	17.525068
6.343942	17.541636
6.342525	17.55794
6.338065	17.574505
6.334607	17.590984
6.331106	17.608252
6.326938	17.623592
6.323521	17.639809
6.319479	17.656113
6.313561	17.672327
6.311769	17.688807
6.309102	17.705986
6.304226	17.721239
6.299684	17.738943
6.296558	17.75551
6.291932	17.771902
6.287681	17.79031
6.283222	17.80591
6.278763	17.821339
6.275179	17.839045
6.27072	17.855261
6.267303	17.871126
6.262844	17.88813
6.256842	17.905224
6.252841	17.920738
6.248382	17.939146
6.243006	17.959131
6.237964	17.972366
6.233672	17.988495
6.228337	18.004534
6.223877	18.022591
