Depth (nm)	Load (µN)
264.367799	1473.895225
265.117636	1477.879934
266.735696	1481.871705
268.052662	1485.897325
268.785249	1489.883035
269.264059	1493.898889
269.381895	1497.924183
269.990818	1501.894027
270.713328	1505.906813
270.921784	1509.922754
271.255473	1513.9213
271.598664	1517.915827
271.784675	1521.914584
271.710183	1525.945162
272.093797	1529.930226
272.303822	1533.937272
273.213127	1537.917835
274.505708	1541.930246
274.982431	1545.935465
275.262155	1549.961596
275.71272	1553.942459
275.951248	1557.954406
276.887844	1561.943229
277.93463	1565.950892
278.476543	1569.968577
278.648861	1573.954946
279.084833	1577.982876
279.775644	1581.955207
280.482972	1585.962159
280.850248	1589.989812
281.302557	1593.959403
281.798612	1597.983772
282.524736	1601.996259
282.843073	1605.981345
283.14831	1609.997785
283.266618	1613.986395
283.582204	1618.005655
283.965546	1622.000939
283.850876	1625.991846
284.336604	1630.022198
285.249705	1634.00641
285.64765	1638.007581
285.585871	1642.023993
285.88812	1646.016709
286.086082	1650.014026
286.249214	1654.019375
286.900564	1658.066079
288.894387	1662.016778
289.886953	1666.02434
290.400397	1670.049589
290.795823	1674.023593
291.421733	1678.039602
291.677119	1682.044752
292.126969	1686.0551
292.176065	1690.063018
292.979149	1694.034473
293.538156	1698.063212
294.273268	1702.05022
295.29431	1706.056088
295.682339	1710.078951
296.155932	1714.067579
296.661447	1718.069979
297.229619	1722.070349
297.677521	1726.079907
298.055262	1730.071582
298.655035	1734.080426
298.650454	1738.107884
299.227904	1742.090656
299.537134	1746.084984
300.775439	1750.075907
301.880751	1754.101252
302.581804	1758.088295
303.427287	1762.0983
303.758164	1766.119024
304.132443	1770.108541
304.727774	1774.120596
304.589718	1778.110421
305.007644	1782.123805
305.63721	1786.1177
306.021648	1790.117238
306.626679	1794.139537
306.702693	1798.12721
307.026387	1802.141343
307.524943	1806.127218
308.43405	1810.125754
309.120593	1814.13982
309.579002	1818.139616
310.17492	1822.157079
310.512073	1826.141007
310.541926	1830.164017
310.887752	1834.147454
311.535998	1838.161009
312.218472	1842.15064
312.809013	1846.153652
313.605558	1850.169335
314.159312	1854.166435
314.704878	1858.170943
315.414935	1862.167221
315.578221	1866.185404
315.937497	1870.174016
316.357212	1874.169011
316.931694	1878.193668
317.666739	1882.203071
317.971233	1886.194161
318.209329	1890.189692
318.454397	1894.213815
318.547975	1898.191718
318.727674	1902.20678
318.839594	1906.205121
319.183223	1910.222368
319.947933	1914.186826
320.924766	1918.220163
321.199908	1922.231718
321.589379	1926.207531
322.467453	1930.224926
322.711382	1934.219566
323.381018	1938.240888
323.921798	1942.227009
324.041546	1946.233351
324.38742	1950.23287
324.567396	1954.251937
324.743893	1958.242043
324.962561	1962.242344
325.293581	1966.255325
325.448228	1970.246953
325.608454	1974.257122
325.705407	1978.258219
325.790856	1982.264307
326.27552	1986.239996
328.441652	1990.250157
329.206201	1994.268468
329.700329	1998.285044
330.143097	2002.271563
330.393845	2006.272967
331.147061	2010.279446
332.08802	2014.275054
333.195665	2018.277771
333.573631	2022.282714
334.51232	2026.296189
334.917357	2030.286136
335.107599	2034.295627
335.451781	2038.297177
335.413269	2042.305945
335.610703	2046.30259
335.764741	2050.296133
336.333412	2054.306755
336.574471	2058.318463
337.361518	2062.304573
337.924024	2066.314773
337.937424	2070.322253
338.149688	2074.321335
338.570078	2078.324199
340.063164	2082.311178
340.914838	2086.344956
341.442167	2090.318587
341.704857	2094.337936
342.109779	2098.333933
342.278654	2102.344067
342.953889	2106.337879
343.059056	2110.338671
343.313699	2114.350812
343.602602	2118.368183
344.312879	2122.347514
344.522833	2126.361945
345.043008	2130.35146
345.211719	2134.37579
345.580996	2138.354661
345.952068	2142.3695
346.21117	2146.364198
346.606617	2150.379362
347.074493	2154.370835
347.654096	2158.382642
348.165658	2162.377011
349.109299	2166.377881
350.056783	2170.382245
350.571902	2174.379135
351.579235	2178.402272
352.346521	2182.383308
352.645266	2186.403948
352.838893	2190.392815
352.980631	2194.407613
353.326679	2198.40576
353.544174	2202.395207
353.86894	2206.413474
354.451016	2210.420123
354.905097	2214.40935
354.969247	2218.417113
355.336291	2222.417583
355.632594	2226.425116
355.895909	2230.421083
356.804027	2234.419931
357.393504	2238.424454
357.824541	2242.451333
358.169511	2246.430928
358.47262	2250.450102
358.844297	2254.431857
358.900772	2258.44484
358.909368	2262.447825
359.399433	2266.445632
359.793558	2270.451982
